,ID Number,Season,Grade Level,Gender_x,1500 Meters,Gender_y,400 Meters
859,14460,2007 Outdoor Season                     ,11th Grade,M,269.1,M,59.3
860,14460,2008 Outdoor Season                     ,12th Grade,M,279.1,M,56.74
861,14461,2005 Outdoor Season                     ,12th Grade,M,287.5,M,57.22
862,14462,2006 Outdoor Season                     ,10th Grade,M,311.0,M,57.84
863,14462,2007 Outdoor Season                     ,11th Grade,M,296.6,M,57.5
864,14463,2005 Outdoor Season                     ,9th Grade,M,355.45,M,64.36
865,14499,2005 Outdoor Season                     ,12th Grade,M,262.9,M,51.04
866,14513,2006 Outdoor Season                     ,11th Grade,M,291.0,M,63.2
867,14513,2007 Outdoor Season                     ,12th Grade,M,294.37,M,68.3
868,14524,2005 Outdoor Season                     ,9th Grade,M,286.1,M,62.44
869,14530,2006 Outdoor Season                     ,11th Grade,M,287.8,M,60.2
870,14530,2007 Outdoor Season                     ,12th Grade,M,296.5,M,63.4
871,14542,2006 Outdoor Season                     ,10th Grade,M,271.8,M,55.0
872,14542,2007 Outdoor Season                     ,11th Grade,M,255.1,M,53.5
873,14542,2008 Outdoor Season                     ,12th Grade,M,262.84,M,54.5
874,14557,2005 Outdoor Season                     ,10th Grade,M,291.05,M,59.81
875,14559,2006 Outdoor Season                     ,10th Grade,M,331.81,M,68.57
876,14560,2005 Outdoor Season                     ,11th Grade,M,300.76,M,64.52
877,14708,2005 Outdoor Season                     ,12th Grade,M,318.1,M,62.84
878,14766,2006 Outdoor Season                     ,10th Grade,M,288.6,M,55.74
879,14766,2007 Outdoor Season                     ,11th Grade,M,280.1,M,53.1
880,14766,2008 Outdoor Season                     ,12th Grade,M,267.4,M,51.8
881,14773,2007 Outdoor Season                     ,11th Grade,M,283.7,M,61.0
882,14773,2008 Outdoor Season                     ,12th Grade,M,279.4,M,56.9
883,14795,2006 Outdoor Season                     ,10th Grade,M,320.0,M,59.0
884,14795,2007 Outdoor Season                     ,11th Grade,M,307.8,M,59.0
885,14800,2005 Outdoor Season                     ,9th Grade,M,271.4,M,51.36
886,14800,2006 Outdoor Season                     ,10th Grade,M,279.9,M,50.82
887,14845,2005 Outdoor Season                     ,9th Grade,M,465.02,M,91.47
888,14859,2005 Outdoor Season                     ,10th Grade,M,386.0,M,54.07
889,14871,2007 Outdoor Season                     ,11th Grade,M,297.5,M,61.34
890,14885,2005 Outdoor Season                     ,9th Grade,M,284.1,M,58.1
891,14885,2006 Outdoor Season                     ,10th Grade,M,286.8,M,57.8
892,14889,2005 Outdoor Season                     ,12th Grade,M,279.8,M,60.18
893,14893,2006 Outdoor Season                     ,11th Grade,M,321.4,M,56.6
894,14911,2006 Outdoor Season                     ,11th Grade,M,274.4,M,56.2
895,14911,2007 Outdoor Season                     ,12th Grade,M,268.5,M,54.8
896,14913,2005 Outdoor Season                     ,11th Grade,M,292.33,M,56.8
897,14913,2006 Outdoor Season                     ,12th Grade,M,271.43,M,55.4
898,14928,2006 Outdoor Season                     ,11th Grade,M,291.0,M,59.84
899,14939,2005 Outdoor Season                     ,10th Grade,M,312.6,M,61.14
900,14939,2007 Outdoor Season                     ,12th Grade,M,287.4,M,56.88
901,14954,2007 Outdoor Season                     ,12th Grade,M,319.8,M,47.3
902,14961,2006 Outdoor Season                     ,10th Grade,M,256.4,M,53.8
903,14961,2007 Outdoor Season                     ,11th Grade,M,267.28,M,52.9
904,15020,2007 Outdoor Season                     ,11th Grade,M,326.0,M,49.4
905,15063,2007 Outdoor Season                     ,11th Grade,M,257.22,M,54.1
906,15063,2008 Outdoor Season                     ,12th Grade,M,261.85,M,51.8
907,15066,2008 Outdoor Season                     ,12th Grade,M,259.04,M,57.7
908,15068,2008 Outdoor Season                     ,12th Grade,M,254.8,M,58.0
909,15151,2007 Outdoor Season                     ,11th Grade,M,243.02,M,53.5
910,15151,2008 Outdoor Season                     ,12th Grade,M,235.28,M,52.2
911,15162,2007 Outdoor Season                     ,12th Grade,M,272.7,M,57.8
912,15167,2006 Outdoor Season                     ,12th Grade,M,275.1,M,56.14
913,15183,2005 Outdoor Season                     ,11th Grade,M,299.5,M,59.24
914,15246,2008 Outdoor Season                     ,12th Grade,M,255.22,M,51.64
915,15385,2006 Outdoor Season                     ,12th Grade,M,237.75,M,51.1
916,15392,2007 Outdoor Season                     ,11th Grade,M,255.16,M,54.94
917,15392,2008 Outdoor Season                     ,12th Grade,M,265.65,M,57.89
918,15426,2005 Outdoor Season                     ,10th Grade,M,277.9,M,57.44
919,15426,2006 Outdoor Season                     ,11th Grade,M,275.0,M,55.24
920,15426,2007 Outdoor Season                     ,12th Grade,M,254.93,M,55.04
921,15430,2005 Outdoor Season                     ,11th Grade,M,282.45,M,54.44
922,15477,2005 Outdoor Season                     ,9th Grade,M,306.77,M,57.04
923,15526,2005 Outdoor Season                     ,10th Grade,M,293.5,M,64.2
924,15526,2006 Outdoor Season                     ,11th Grade,M,289.9,M,60.3
925,15526,2007 Outdoor Season                     ,12th Grade,M,298.9,M,61.24
926,15527,2005 Outdoor Season                     ,9th Grade,M,290.02,M,62.6
927,15529,2005 Outdoor Season                     ,10th Grade,M,285.4,M,62.5
928,15529,2006 Outdoor Season                     ,11th Grade,M,289.6,M,59.0
929,15529,2007 Outdoor Season                     ,12th Grade,M,267.81,M,55.1
930,15535,2006 Outdoor Season                     ,10th Grade,M,296.4,M,54.1
931,15535,2007 Outdoor Season                     ,11th Grade,M,282.57,M,54.1
932,15535,2008 Outdoor Season                     ,12th Grade,M,294.6,M,52.8
933,15539,2006 Outdoor Season                     ,12th Grade,M,311.7,M,55.7
934,15541,2005 Outdoor Season                     ,12th Grade,M,326.9,M,70.5
935,15541,2006 Outdoor Season                     ,11th Grade,M,346.8,M,61.5
936,15544,2005 Outdoor Season                     ,9th Grade,M,365.5,M,67.44
937,15545,2005 Outdoor Season                     ,11th Grade,M,358.0,M,66.34
938,15546,2005 Outdoor Season                     ,9th Grade,M,355.3,M,76.84
939,15546,2006 Outdoor Season                     ,10th Grade,M,325.0,M,71.44
940,15546,2008 Outdoor Season                     ,12th Grade,M,316.2,M,69.84
941,15550,2005 Outdoor Season                     ,9th Grade,M,298.0,M,58.44
942,15550,2008 Outdoor Season                     ,12th Grade,M,308.9,M,61.34
943,15551,2005 Outdoor Season                     ,9th Grade,M,333.2,M,68.98
944,15699,2008 Outdoor Season                     ,12th Grade,M,278.23,M,54.0
945,15844,2006 Outdoor Season                     ,10th Grade,M,287.8,M,58.04
946,15845,2003 Outdoor  Season                     ,10th Grade,M,268.9,M,56.04
947,16018,2005 Outdoor Season                     ,12th Grade,M,309.0,M,57.64
948,16019,2008 Outdoor Season                     ,12th Grade,M,329.3,M,63.44
949,16053,2005 Outdoor Season                     ,9th Grade,M,346.06,M,71.5
950,16060,2005 Outdoor Season                     ,9th Grade,M,312.6,M,68.14
951,16107,2007 Outdoor Season                     ,12th Grade,M,285.0,M,60.61
952,16108,2008 Outdoor Season                     ,12th Grade,M,257.74,M,57.44
953,16111,2005 Outdoor Season                     ,9th Grade,M,306.4,M,61.24
954,16111,2007 Outdoor Season                     ,11th Grade,M,255.85,M,54.54
955,16115,2006 Outdoor Season                     ,10th Grade,M,308.16,M,66.59
956,16195,2007 Outdoor Season                     ,11th Grade,M,283.69,M,59.8
957,16195,2008 Outdoor Season                     ,12th Grade,M,277.94,M,62.0
958,16209,2006 Outdoor Season                     ,11th Grade,M,258.38,M,61.0
959,16210,2006 Outdoor Season                     ,11th Grade,M,284.0,M,60.5
960,16217,2007 Outdoor Season                     ,12th Grade,M,297.6,M,63.0
961,16222,2006 Outdoor Season                     ,11th Grade,M,275.3,M,56.1
962,16222,2007 Outdoor Season                     ,12th Grade,M,277.92,M,54.5
963,16242,2007 Outdoor Season                     ,12th Grade,M,310.1,M,58.24
964,16312,2008 Outdoor Season                     ,12th Grade,M,256.7,M,55.96
965,16325,2007 Outdoor Season                     ,11th Grade,M,260.8,M,56.04
966,16325,2008 Outdoor Season                     ,12th Grade,M,266.45,M,57.99
967,16372,2006 Outdoor Season                     ,10th Grade,M,309.8,M,59.44
968,16372,2007 Outdoor Season                     ,11th Grade,M,280.41,M,57.0
969,16416,2006 Outdoor Season                     ,10th Grade,M,270.0,M,59.64
970,16416,2007 Outdoor Season                     ,11th Grade,M,267.6,M,58.54
971,16416,2008 Outdoor Season                     ,12th Grade,M,265.47,M,57.14
972,16418,2006 Outdoor Season                     ,12th Grade,M,324.0,M,65.44
973,16446,2005 Outdoor Season                     ,12th Grade,M,258.3,M,54.74
974,16461,2006 Outdoor Season                     ,12th Grade,M,236.67,M,52.14
975,16464,2006 Outdoor Season                     ,11th Grade,M,264.47,M,56.24
976,16464,2007 Outdoor Season                     ,12th Grade,M,284.78,M,55.84
977,16509,2006 Outdoor Season                     ,10th Grade,M,280.3,M,54.15
978,16512,2006 Outdoor Season                     ,9th Grade,M,299.1,M,60.24
979,16533,2008 Outdoor Season                     ,12th Grade,M,247.92,M,56.04
980,16547,2005 Outdoor Season                     ,9th Grade,M,363.0,M,62.44
981,16600,2006 Outdoor Season                     ,10th Grade,M,282.9,M,63.0
982,16601,2005 Outdoor Season                     ,9th Grade,M,313.2,M,60.24
983,16601,2006 Outdoor Season                     ,10th Grade,M,297.6,M,60.4
984,16602,2006 Outdoor Season                     ,10th Grade,M,307.4,M,62.0
985,16604,2006 Outdoor Season                     ,10th Grade,M,274.1,M,59.3
986,16604,2007 Outdoor Season                     ,11th Grade,M,264.2,M,57.6
987,16604,2008 Outdoor Season                     ,12th Grade,M,271.2,M,57.3
988,16605,2006 Outdoor Season                     ,10th Grade,M,334.7,M,71.0
989,16657,2004 Outdoor Season                     ,9th Grade,M,291.9,M,59.37
990,16657,2005 Outdoor Season                     ,10th Grade,M,301.58,M,56.84
991,16660,2007 Outdoor Season                     ,11th Grade,M,292.0,M,71.34
992,16660,2008 Outdoor Season                     ,12th Grade,M,300.0,M,59.94
993,16685,2007 Outdoor Season                     ,12th Grade,M,298.0,M,65.14
994,16686,2007 Outdoor Season                     ,12th Grade,M,373.0,M,70.54
995,16721,2006 Outdoor Season                     ,10th Grade,M,282.74,M,54.37
996,16721,2007 Outdoor Season                     ,11th Grade,M,273.0,M,51.54
997,16795,2005 Outdoor Season                     ,9th Grade,M,316.4,M,60.84
998,16801,2006 Outdoor Season                     ,10th Grade,M,311.8,M,55.22
999,16801,2008 Outdoor Season                     ,12th Grade,M,264.66,M,55.67
1000,16878,2007 Outdoor Season                     ,12th Grade,M,294.8,M,56.62
1001,16881,2006 Outdoor Season                     ,10th Grade,M,267.89,M,57.14
1002,16881,2007 Outdoor Season                     ,11th Grade,M,260.71,M,56.54
1003,16881,2008 Outdoor Season                     ,12th Grade,M,266.51,M,55.77
1004,16990,2005 Outdoor Season                     ,11th Grade,M,318.0,M,62.14
