,ID Number,Season,Grade Level,Gender_x,800 Meters,Gender_y,400 Meters
293,2912,2007 Outdoor Season                     ,12th Grade,M,131.9,M,55.3
294,2914,2004 Outdoor Season                     ,12th Grade,M,128.91,M,54.0
295,2917,2006 Outdoor Season                     ,11th Grade,M,142.8,M,58.9
296,2964,2003 Outdoor  Season                     ,9th Grade,M,132.7,M,56.21
297,2964,2004 Outdoor Season                     ,10th Grade,M,153.3,M,58.14
298,2966,2006 Outdoor Season                     ,11th Grade,M,123.07,M,51.9
299,2966,2007 Outdoor Season                     ,12th Grade,M,123.79,M,54.22
300,2967,2004 Outdoor Season                     ,10th Grade,M,127.69,M,56.54
301,2967,2005 Outdoor Season                     ,11th Grade,M,122.67,M,54.04
302,2967,2006 Outdoor Season                     ,12th Grade,M,121.2,M,51.1
303,2968,2006 Outdoor Season                     ,12th Grade,M,128.0,M,53.09
304,2980,2004 Outdoor Season                     ,12th Grade,M,131.4,M,59.94
305,2990,2003 Outdoor  Season                     ,10th Grade,M,154.0,M,66.0
306,2998,2006 Outdoor Season                     ,11th Grade,M,122.99,M,52.5
307,3000,2006 Outdoor Season                     ,12th Grade,M,126.4,M,56.7
308,3007,2006 Outdoor Season                     ,12th Grade,M,121.97,M,53.2
309,3008,2006 Outdoor Season                     ,11th Grade,M,134.4,M,63.6
310,3016,2005 Outdoor Season                     ,12th Grade,M,128.86,M,52.32
311,3024,2004 Outdoor Season                     ,10th Grade,M,137.0,M,59.84
312,3024,2006 Outdoor Season                     ,12th Grade,M,130.9,M,54.74
313,3026,2006 Outdoor Season                     ,12th Grade,M,135.4,M,56.54
314,3028,2004 Outdoor Season                     ,11th Grade,M,140.0,M,54.04
315,3075,2007 Outdoor Season                     ,12th Grade,M,141.8,M,54.53
316,3079,2005 Outdoor Season                     ,12th Grade,M,127.3,M,55.74
317,3080,2006 Outdoor Season                     ,11th Grade,M,118.57,M,53.34
318,3080,2007 Outdoor Season                     ,12th Grade,M,119.76,M,51.6
319,3119,2004 Outdoor Season                     ,11th Grade,M,148.8,M,64.14
320,3123,2004 Outdoor Season                     ,12th Grade,M,130.12,M,58.04
321,3125,2004 Outdoor Season                     ,12th Grade,M,121.89,M,52.65
322,3129,2005 Outdoor Season                     ,12th Grade,M,142.0,M,55.8
323,3151,2007 Outdoor Season                     ,12th Grade,M,138.9,M,51.6
324,3166,2004 Outdoor Season                     ,9th Grade,M,147.0,M,64.48
325,3168,2004 Outdoor Season                     ,11th Grade,M,158.2,M,56.38
326,3213,2004 Outdoor Season                     ,10th Grade,M,151.6,M,62.34
327,3213,2005 Outdoor Season                     ,11th Grade,M,138.9,M,60.12
328,3213,2006 Outdoor Season                     ,12th Grade,M,129.34,M,56.24
329,3217,2004 Outdoor Season                     ,12th Grade,M,136.6,M,59.1
330,3270,2005 Outdoor Season                     ,12th Grade,M,149.0,M,63.04
331,3285,2005 Outdoor Season                     ,10th Grade,M,141.1,M,59.51
332,3285,2006 Outdoor Season                     ,11th Grade,M,164.8,M,54.74
333,3285,2007 Outdoor Season                     ,12th Grade,M,144.2,M,52.73
334,3318,2004 Outdoor Season                     ,12th Grade,M,161.0,M,57.84
335,3338,2004 Outdoor Season                     ,11th Grade,M,152.0,M,65.04
336,3352,2005 Outdoor Season                     ,10th Grade,M,148.4,M,56.63
337,3359,2004 Outdoor Season                     ,12th Grade,M,130.6,M,54.14
338,3361,2004 Outdoor Season                     ,12th Grade,M,139.2,M,60.46
339,3365,2004 Outdoor Season                     ,10th Grade,M,158.5,M,63.74
340,3369,2006 Outdoor Season                     ,12th Grade,M,133.38,M,58.5
341,3383,2006 Outdoor Season                     ,12th Grade,M,128.91,M,55.1
342,3419,2004 Outdoor Season                     ,9th Grade,M,137.5,M,58.5
343,3419,2005 Outdoor Season                     ,10th Grade,M,142.8,M,58.34
344,3419,2006 Outdoor Season                     ,11th Grade,M,133.87,M,56.24
345,3426,2004 Outdoor Season                     ,10th Grade,M,141.0,M,53.11
346,3430,2004 Outdoor Season                     ,11th Grade,M,133.6,M,51.2
347,3431,2004 Outdoor Season                     ,10th Grade,M,141.5,M,53.0
348,3473,2004 Outdoor Season                     ,11th Grade,M,149.0,M,57.34
349,3475,2004 Outdoor Season                     ,9th Grade,M,153.9,M,63.24
350,3476,2004 Outdoor Season                     ,9th Grade,M,140.6,M,61.54
351,3476,2005 Outdoor Season                     ,10th Grade,M,147.4,M,58.25
352,3477,2004 Outdoor Season                     ,9th Grade,M,122.6,M,54.54
353,3477,2005 Outdoor Season                     ,10th Grade,M,115.45,M,52.44
354,3477,2006 Outdoor Season                     ,11th Grade,M,113.14,M,53.24
355,3477,2007 Outdoor Season                     ,12th Grade,M,115.22,M,52.14
356,3478,2005 Outdoor Season                     ,10th Grade,M,134.3,M,54.22
357,3481,2005 Outdoor Season                     ,10th Grade,M,127.03,M,56.34
358,3483,2005 Outdoor Season                     ,12th Grade,M,134.0,M,52.35
359,3500,2005 Outdoor Season                     ,11th Grade,M,134.49,M,58.58
360,3500,2006 Outdoor Season                     ,12th Grade,M,134.16,M,55.87
361,3502,2004 Outdoor Season                     ,10th Grade,M,137.5,M,59.24
362,3503,2004 Outdoor Season                     ,9th Grade,M,140.4,M,61.63
363,3504,2004 Outdoor Season                     ,9th Grade,M,147.6,M,63.22
364,3509,2004 Outdoor Season                     ,11th Grade,M,136.7,M,57.24
365,3519,2004 Outdoor Season                     ,12th Grade,M,135.97,M,61.33
366,3521,2004 Outdoor Season                     ,12th Grade,M,136.38,M,53.62
367,3523,2006 Outdoor Season                     ,12th Grade,M,141.3,M,52.8
368,3538,2004 Outdoor Season                     ,11th Grade,M,148.3,M,60.25
369,3543,2004 Outdoor Season                     ,11th Grade,M,167.78,M,68.76
370,3554,2004 Outdoor Season                     ,12th Grade,M,119.34,M,53.19
371,3556,2004 Outdoor Season                     ,12th Grade,M,123.13,M,56.51
372,3561,2004 Outdoor Season                     ,10th Grade,M,121.13,M,52.94
373,3561,2006 Outdoor Season                     ,12th Grade,M,115.64,M,51.04
374,3568,2006 Outdoor Season                     ,11th Grade,M,120.38,M,49.72
